query,disease,advice
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Runny nose after going outside,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Watery eyes and itchy skin,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
I sneeze a lot around dust,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Itchy throat and skin rashes,Allergy,Avoid allergens and consider antihistamines or allergy shots.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Sudden pressure in chest and lightheadedness,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Severe chest pain and sweating,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tightness in chest and nausea,Heart Attack,Seek emergency care and follow up with a cardiologist.
Left arm pain and shortness of breath,Heart Attack,Seek emergency care and follow up with a cardiologist.
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Tiredness and sore throat,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Loss of smell and dry cough,COVID-19,"Isolate, rest, and follow local health authority guidelines."
Fever and shortness of breath,COVID-19,"Isolate, rest, and follow local health authority guidelines."
I feel exhausted and have chills,COVID-19,"Isolate, rest, and follow local health authority guidelines."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
My blood pressure readings are always high,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Dizziness and chest pain,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
Frequent headaches and blurred vision,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have high blood pressure,Hypertension,"Reduce salt intake, exercise, and manage stress levels."
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I have trouble sleeping and feel worthless,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
Loss of interest in activities I used to enjoy,Depression,Talk to a mental health professional and consider therapy or medication.
I feel hopeless and tired all the time,Depression,Talk to a mental health professional and consider therapy or medication.
I cry frequently and feel very low,Depression,Talk to a mental health professional and consider therapy or medication.
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I have panic attacks often,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Constant worry and restlessness,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Sweating and shortness of breath in crowds,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
I feel nervous and my heart races,Anxiety,"Practice deep breathing, mindfulness, and seek therapy if needed."
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
